	Query	Start_SPAligner	End_SPAligner	Path_SPAligner	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	Start_SPAligner_GraphAligner	SPAlignerVSGraphAligner
0	gb|AB765395|+|0-1143|ARO:3002993|AQU-1	24878	25966	1143	24880	26021	2079546	24880	Different
1	gb|AE006468.2|+|1707351-1707789|ARO:3002571|AAC(6')-Iaa	3686	4068	438	3688	4123	118828	3688	Different
2	gb|AE016877.1|+|1972251-1972668|ARO:3000172|FosB	310	672	417	312	727	15445	312	Different
3	gb|AF024602|+|3155-3992|ARO:3002660|APH(6)-Id	2128	2910	837	2130	2965	2007548	2130	Different
4	gb|AF118110.1|-|71-1037|ARO:3003002|CfxA2	111	1022	966	113	1077	821183	113	Different
5	gb|AF144880|+|3541-3979|ARO:3002569|AAC(6')-Iy	3686	4068	438	3688	4123	118828	3688	Different
6	gb|AF313472|+|15593-16397|ARO:3002639|APH(3'')-Ib	1325	2074	804	1327	2129	2007548	1327	Different
7	gb|AF472622|+|52-1018|ARO:3003003|CfxA3	111	1022	966	113	1077	821183	113	Different
8	gb|AF550679.1|-|80976-81768|ARO:3002601|aadA	553	1257	792	555	1312	28874510	555	Different
9	gb|AJ222769.3|+|3686-5606|ARO:3000194|tetW	564	2429	1920	566	2484	136860	566	Different
10	gb|AJ276031.1|+|111-906|ARO:3004837|OXA-724	10993	11733	795	10995	11788	946235	10995	Different
11	gb|AJ548797|+|923-1688|ARO:3003094|imiH	157109	157819	765	157111	157874	49189	157111	Different
12	gb|AJ579365.1|+|4149-5628|ARO:3003111|lsaB	1200	2620	1479	1202	2679	28670955	1202	Different
13	gb|AJ809407|+|118-898|ARO:3002620|aadA23	580	1257	780	575	1312	28874510	582	Different
14	gb|AL009126.3|-|339155-339749|ARO:3003059|tmrB	46386	46925	594	46388	46980	2066834	46388	Different
15	gb|AL009126|+|916777-919348|ARO:3003324|Bacillus_subtilis_mprF	127269	129785	2571	127271	129840	1355660	127271	Different
16	gb|AL009126|-|2735681-2736536|ARO:3002627|aadK	424325	425125	855	424327	425180	2117722	424327	Different
17	gb|AM261837|+|73-865|ARO:3002619|aadA22	553	1257	792	555	1312	28874510	555	Different
18	gb|AP009048|-|4338624-4340268|ARO:3003576|eptA	2701,0	1219,417	1644	2703	4345	117799, 1321	2703, 2	Different
19	gb|AP012030.1|-|395553-396711|ARO:3004612|Escherichia_coli_ampH	501,0	869,794	1158	2	849	4839	503, 2	Different
20	gb|APRY01000059.1|+|64996-65827|ARO:3001740|OXA-285	1755	2531	831	1757	2586	788032	1757	Different
21	gb|AY055428.1|-|20268-21084|ARO:3000412|sul2	302	1063	816	304	1118	48835	304	Different
22	gb|AY171244|+|46-838|ARO:3002618|aadA21	553	1257	792	555	1312	28874510	555	Different
23	gb|AY769933|+|0-966|ARO:3003005|CfxA4	111	1022	966	113	1077	821183	113	Different
24	gb|AY769934|+|27-993|ARO:3003096|CfxA5	111	1022	966	113	1077	821183	113	Different
25	gb|CP010314.1|+|275837-276758|ARO:3004541|mphK	72780	73646	921	72782	73701	2066834	72782	Different
26	gb|DQ393783|+|1799-2591|ARO:3002615|aadA15	553	1245	792	555	1301	28874510	555	Different
27	gb|DQ677333|+|0-780|ARO:3002621|aadA24	580	1257	780	575	1312	28874510	582	Different
28	gb|EU722333.1|+|1932-3852|ARO:3000196|tet32	0,0,0	275,459,535	1920	0	0	0	2, 2, 2	Different
29	gb|FN649414.1|+|2765050-2766355|ARO:3004611|Escherichia_coli_ampC1_beta-lactamase	0	1221	1305	1361	2664	124798, 425724	2	Different
30	gb|GQ343019|+|132-1023|ARO:3002999|CblA-1	4876	5712	891	4878	5767	926037	4878	Different
31	gb|JX440349|+|1026-2172|ARO:3002087|CMY-74	1200	2291	1146	1202	2346	146006	1202	Different
32	gb|JX440350|+|1026-2172|ARO:3002083|CMY-70	1200	2291	1146	1202	2346	146006	1202	Different
